RA,Dec,x,y,F814W,err,f475W,err_1,chi_I,chi_B,sharp_I,sharp_B,F475W,color
50.11825,41.7558268,3047.8,297.831,24.895,0.073,26.904,0.073,1.696,0.772,0.369,0.128,26.371,-1.476
50.1284721,41.7499353,3741.514,310.772,24.652,0.057,26.786,0.053,1.414,0.529,0.218,0.103,26.253,-1.601
50.121756,41.7530661,3317.511,345.051,24.842,0.037,26.492,0.063,0.657,0.948,0.094,0.149,25.959,-1.117
50.1234369,41.7481692,3600.291,574.176,24.952,0.061,27.081,0.076,1.265,0.646,0.145,0.14,26.548,-1.596
50.1228377,41.7474525,3605.235,634.79,23.213,0.045,25.357,0.049,1.786,1.53,0.273,0.196,24.824,-1.611
50.1223054,41.7477332,3570.23,635.628,25.451,0.062,27.724,0.133,0.846,0.716,-0.011,0.349,27.191,-1.74
50.1207103,41.7476987,3502.937,688.731,25.254,0.048,27,0.069,0.677,0.643,0.153,0.166,26.467,-1.213
50.122095,41.7449094,3682.435,805.551,25.112,0.059,26.974,0.063,1.112,0.558,0.226,-0.15,26.441,-1.329
50.1207057,41.7444496,3642.279,876.644,25.376,0.065,27.42,0.121,1.007,0.922,0.124,-0.109,26.887,-1.511
50.0795576,41.767113,895.057,884.569,25.054,0.046,27.43,0.11,0.78,0.79,0.084,0.051,26.897,-1.843
50.105523,41.7499193,2752.742,1046.956,22.167,0.035,24.846,0.022,1.566,0.61,-0.1,-0.017,24.313,-2.146
50.1236207,41.7377798,4054.42,1168.67,24.877,0.077,26.836,0.078,1.826,0.925,0.372,0.061,26.303,-1.426
50.1099611,41.7404984,3348.635,1449.264,25.308,0.07,27.053,0.082,1.207,0.783,-0.22,-0.006,26.52,-1.212
50.0882175,41.7508408,1966.92,1547.958,24.065,0.032,26.016,0.043,0.868,0.85,-0.004,-0.023,25.483,-1.418
50.0963166,41.7458918,2528.644,1574.636,24.789,0.076,26.712,0.064,1.895,0.784,0.272,0.125,26.179,-1.39
50.0848094,41.7488056,1907.294,1774.744,24.648,0.05,26.838,0.075,1.206,0.881,0.193,0.281,26.305,-1.657
50.0589811,41.7626502,199.241,1801.186,25.079,0.058,27.357,0.095,1.108,0.674,0.161,0.15,26.824,-1.745
50.1061474,41.7361181,3372.239,1824.615,24.162,0.038,27.05,0.081,1.092,0.761,0.149,-0.007,26.517,-2.355
50.115041,41.7308544,3981.833,1843.844,25.258,0.071,27.442,0.109,1.255,0.758,0.208,0.153,26.909,-1.651
50.0935416,41.7413502,2603.935,1926.038,24.969,0.069,26.836,0.07,1.515,0.788,0.206,-0.166,26.303,-1.334
50.1022302,41.7354711,3231.072,1987.518,25.382,0.097,27.162,0.124,1.731,1.286,0.254,-0.044,26.629,-1.247
50.1006303,41.7363268,3125.33,1989.318,23.737,0.047,25.614,0.053,1.693,1.502,0.225,-0.023,25.081,-1.344
50.0740584,41.750941,1351.962,1995.547,24.897,0.06,27.065,0.109,1.316,1.199,0.26,0.137,26.532,-1.635
50.0644859,41.7526861,864.192,2201.105,24.759,0.079,27.004,0.105,1.667,1.107,0.277,0.398,26.471,-1.712
50.0526938,41.757394,153.565,2306.318,23.978,0.051,26.253,0.069,1.699,1.34,0.229,0.261,25.72,-1.742
50.0512116,41.7559752,150.492,2435.793,24.685,0.063,26.744,0.088,1.57,1.192,0.114,0.221,26.211,-1.526
50.0890684,41.7344822,2705.809,2466.322,25.064,0.044,27.189,0.091,0.748,0.793,0.095,0.265,26.656,-1.592
50.0882767,41.7345387,2669.231,2488.414,25.258,0.048,27.06,0.115,0.721,1.27,0.148,-0.284,26.527,-1.269
50.0929896,41.7312431,3013.998,2527.94,25.247,0.048,27.16,0.089,0.698,0.789,0.105,-0.005,26.627,-1.38
50.1022876,41.7246078,3699.95,2613.559,24.237,0.036,26.142,0.035,0.932,0.496,0.142,-0.008,25.609,-1.372
50.1019165,41.7242426,3699.624,2646.56,24.194,0.044,26.249,0.067,1.266,1.289,0.106,0.133,25.716,-1.522
50.0873457,41.7290064,2866.54,2838.033,25.193,0.071,27.123,0.108,1.324,1.102,-0.096,0.02,26.59,-1.397
50.06523,41.7394792,1462.986,2940.865,24.98,0.05,27.39,0.083,0.933,0.502,0.098,0.009,26.857,-1.877
50.0995744,41.7171897,3901.385,3129.267,24.262,0.055,26.359,0.079,1.676,1.459,0.254,0.3,25.826,-1.564
50.0882483,41.7232548,3152.365,3141.596,24.274,0.031,26.28,0.046,0.746,0.73,0.107,0.162,25.747,-1.473
50.0950189,41.7170661,3710.144,3282.389,25.394,0.058,27.594,0.093,0.846,0.478,0.086,0.117,27.061,-1.667
50.0728571,41.7283172,2271.032,3341.961,23.862,0.042,25.895,0.039,1.326,0.748,0.219,-0.107,25.362,-1.5
50.0845593,41.7216357,3062.699,3353.374,22.305,0.026,24.869,0.021,1.047,0.604,-0.037,-0.028,24.336,-2.031
50.0601938,41.7335305,1500.942,3446.062,23.563,0.036,25.485,0.044,1.214,1.262,0.077,0.086,24.952,-1.389
50.0634938,41.7297478,1805.639,3559.104,25.257,0.071,26.855,0.055,1.276,0.496,-0.099,0.028,26.322,-1.065
