RA,Dec,x,y,F814W,err,F475W,err_1,chi_I,chi_B,sharp_I,sharp_B,color
49.9697496,41.3256875,1449.806,83.038,25.465,0.086,26.883,0.095,1.276,0.602,0.253,0.25,-1.418
49.9824903,41.327562,2151.763,87.681,25.443,0.084,27.203,0.146,1.241,0.776,0.271,0.064,-1.76
49.9519973,41.3227104,466.462,102.171,24.934,0.052,26.506,0.091,0.908,0.868,0.107,0.208,-1.572
49.9800157,41.3268155,2009.953,113.777,24.839,0.052,26.185,0.075,0.964,0.951,0.176,0.196,-1.346
50.0121167,41.3316332,3779.87,118.361,24.964,0.052,26.409,0.059,0.895,0.451,0.102,-0.057,-1.445
49.9964207,41.3292055,2913.441,121.289,24.581,0.042,26.53,0.083,0.822,0.763,0.124,0.272,-1.949
50.0048896,41.3304344,3379.777,125.444,24.507,0.046,25.868,0.063,1.024,1.025,0.065,0.196,-1.361
49.9669731,41.3235186,1271.622,206.232,25.035,0.063,26.339,0.068,1.115,0.706,0.258,0.196,-1.304
49.9921466,41.326246,2644.645,284.249,24.447,0.054,25.975,0.051,1.288,0.673,0.169,0.094,-1.528
50.0181245,41.3300761,4075.997,292.659,25.197,0.064,26.957,0.1,1.019,0.601,0.03,0.139,-1.76
49.9760005,41.3229409,1741.737,344.038,25.22,0.054,26.789,0.116,0.766,0.934,0.127,-0.259,-1.569
49.9607481,41.3200779,892.475,382.069,23.506,0.038,25.057,0.036,1.146,0.872,0.13,0.038,-1.551
49.9683322,41.3209492,1306.862,402.151,25.248,0.052,26.526,0.065,0.695,0.504,0.128,-0.119,-1.278
49.9605449,41.3187987,863.383,470.143,25.041,0.051,26.468,0.069,0.819,0.622,0.054,0.152,-1.427
49.9463226,41.3159788,69.269,516.066,22.354,0.036,23.706,0.038,1.2,1.747,0.174,0.205,-1.352
49.9741203,41.3197366,1596.245,549.933,25.203,0.038,26.636,0.08,0.401,0.635,-0.001,-0.075,-1.433
49.964384,41.3168406,1038.801,649.605,24.138,0.034,25.497,0.037,0.778,0.602,0.034,-0.026,-1.359
49.9809873,41.3191947,1952.414,661.973,24.872,0.053,26.268,0.068,0.985,0.74,0.154,0.116,-1.396
50.001382,41.3217827,3070.281,698.341,24.66,0.048,25.779,0.055,0.993,0.909,0.168,-0.098,-1.119
