RA,Dec,x,y,F814W,err,F475X,err_1,chi_I,chi_B,sharp_I,sharp_B,F475W,color
49.2991956,41.2116991,1517.558,191.144,25.274,0.07,26.868,0.068,0.945,1.018,0.239,0.298,26.5502,-1.2762
49.3167828,41.2170752,271.057,551.617,24.27,0.048,26.349,0.056,1.295,1.262,0.204,0.038,26.1088,-1.8388
49.310518,41.2187051,681.478,743.529,24.731,0.053,26.642,0.069,1.069,1.287,0.228,0.133,26.37492,-1.64392
49.2869787,41.2200383,2268.871,1031.946,25.07,0.07,27.112,0.067,1.13,0.773,0.296,0.053,26.86588,-1.79588
49.2636471,41.2283216,3775.869,1947.333,25.086,0.081,26.83,0.069,1.288,1.069,0.16,0.288,26.5362,-1.4502
49.3052169,41.2342017,894.94,2181.707,22.479,0.019,24.75,0.028,0.963,1.444,0.012,0.023,24.54052,-2.06152
49.2928445,41.2360968,1717.759,2441.2,24.29,0.031,26.012,0.055,0.734,1.594,0.012,0.133,25.71468,-1.42468
49.2808632,41.2426933,2469.255,3122.863,25.419,0.092,27.394,0.105,1.164,1.042,0.055,-0.097,27.13716,-1.71816
49.2698621,41.2440123,3204.202,3320.707,24.212,0.038,25.956,0.051,1.009,1.528,0.112,0.217,25.6622,-1.4502
49.2930297,41.2504575,1568.885,3737.601,22.282,0.024,24.651,0.032,1.265,1.786,-0.109,-0.252,24.4572,-2.1752
49.2584548,41.2484395,3937.089,3802.426,25.051,0.062,26.586,0.078,0.988,1.552,0.211,0.27,26.25876,-1.20776
49.3136665,41.253107,141.702,3829.951,25.415,0.083,26.792,0.066,1.016,1.04,0.072,-0.163,26.43948,-1.02448
49.2888617,41.2519359,1838.02,3900.945,23.864,0.04,25.713,0.028,1.316,0.872,0.192,0.097,25.436,-1.572
49.261814,41.2543403,3652.677,4311.576,24.971,0.056,26.694,0.05,0.933,0.791,0.235,0.133,26.39684,-1.42584
49.3081384,41.2468542,576.523,3304.261,25.206,0.082,26.856,0.071,1.231,1.079,-0.027,-0.28,26.54716,-1.34116
49.315341,41.2509535,48.329,3623.422,24.839,0.053,26.378,0.041,0.966,0.834,-0.052,0.152,26.0514,-1.2124
49.2660945,41.2491357,3411.421,3810.638,24.97,0.059,26.769,0.07,0.976,1.134,0.256,0.133,26.484,-1.514
49.3036846,41.2184416,1148.473,768.425,22.433,0.014,24.33,0.018,0.629,1.002,-0.045,-0.017,24.06068,-1.62768
