"","RA","Dec","x","y","F814W","err","F475W","err_1","chi_I","chi_B","sharp_I","sharp_B"
"1",49.4542243,41.5525601,110.014,190.845,25.092,0.063,26.671,0.096,1.187,0.823,0.211,0.264
"2",49.4562393,41.5455966,622.65,210.036,22.383,0.02,23.844,0.019,0.729,0.657,-0.058,-0.011
"3",49.4628823,41.5225812,2316.783,274.198,25.246,0.056,26.765,0.087,0.872,0.58,-0.006,0.041
"4",49.4590742,41.5294153,1789.189,351.018,24.543,0.045,26.152,0.06,1.119,0.731,0.115,0.092
"5",49.4591727,41.5264974,1994.035,397.986,25.429,0.076,26.448,0.059,1.177,0.483,0.28,0.052
"6",49.4611554,41.5152082,2807.965,496.035,24.993,0.049,26.418,0.078,0.903,0.793,0.094,0.18
"7",49.4634801,41.507385,3384.728,514.303,24.818,0.05,26.226,0.059,1.06,0.61,0.171,0.153
"8",49.4663621,41.498579,4037.491,520.969,23.358,0.046,24.84,0.043,1.939,1.307,0.282,0.128
"9",49.4519572,41.5391279,1016.586,549.132,25.275,0.061,26.454,0.06,0.998,0.481,0.196,0.035
"10",49.4539676,41.5328558,1480.942,556.206,23.929,0.038,25.312,0.035,1.228,0.713,0.161,0.023
"11",49.4478306,41.5472839,392.545,618.843,25.055,0.049,26.418,0.087,0.866,0.934,0.175,-0.279
"12",49.459311,41.5070572,3351.836,737.925,24.851,0.045,26.21,0.096,0.891,1.37,0.141,0.028
"13",49.4553658,41.5145105,2779.211,810.87,25.405,0.065,26.94,0.085,0.965,0.468,0.157,-0.105
"14",49.4467773,41.5336871,1326.803,916.771,23.729,0.04,25.171,0.041,1.444,0.992,-0.081,-0.118
"15",49.4594729,41.496228,4109.341,922.852,25.008,0.063,26.085,0.046,1.3,0.494,0.25,0.092
"16",49.4412639,41.5402396,796.035,1087.52,24.563,0.037,26.003,0.037,0.832,0.359,-0.022,0.004
"17",49.453242,41.5046488,3438.651,1097.952,25.077,0.05,26.852,0.097,0.876,0.657,0.155,0.182
"18",49.4377526,41.5485142,171.939,1122.912,23.043,0.03,24.395,0.034,1.156,1.227,0.082,0.155
"19",49.4431333,41.5242729,1934.671,1275.268,23.155,0.034,24.949,0.036,1.408,0.973,0.144,0.044
"20",49.450163,41.5035996,3470.638,1277.528,24.046,0.041,25.465,0.049,1.317,1.032,0.187,0.048
"21",49.4430178,41.5230891,2015.686,1302.454,24.689,0.035,26.024,0.051,0.69,0.636,0.093,-0.025
"22",49.4498243,41.5013603,3622.293,1335.225,25.145,0.059,26.709,0.073,1.06,0.466,-0.057,-0.051
"23",49.4365265,41.5394921,784.79,1348.191,24.486,0.047,25.938,0.057,1.234,0.838,0.123,0.237
"24",49.4463644,41.5092102,3028.479,1375.693,23.852,0.034,25.426,0.04,1.064,0.791,0.143,0.051
"25",49.4462392,41.5095199,3005.203,1376.702,24.853,0.05,26.919,0.075,1.064,0.379,-0.069,-0.044
"26",49.4429691,41.5187791,2315.648,1382.024,23.546,0.027,24.961,0.027,0.849,0.606,0.103,-0.013
"27",49.440567,41.5199802,2199.732,1485.998,24.565,0.056,26.086,0.063,1.484,0.846,0.274,0.113
"28",49.4420961,41.5140464,2634.055,1512.195,24.083,0.04,25.503,0.045,1.235,0.869,-0.001,0.06
"29",49.4305934,41.5433183,438.531,1589.507,25.144,0.062,26.711,0.095,1.148,0.762,0.244,-0.087
"30",49.4353897,41.5245135,1814.262,1675.314,25.315,0.079,26.693,0.147,1.362,1.467,0.036,-0.29
"31",49.4328456,41.5307949,1342.114,1695.852,24.808,0.049,26.501,0.098,1.022,1.017,0.149,0.229
"32",49.4432108,41.49742,3808.613,1751.11,24.003,0.043,25.411,0.038,1.411,0.713,0.198,0.117
"33",49.4227596,41.5234383,1720.154,2354.034,22.464,0.02,24.688,0.05,0.698,1.771,0.071,-0.03
"34",49.4209839,41.5222029,1782.538,2468.855,24.903,0.065,26.366,0.091,1.456,1.083,0.289,0.132
"35",49.4132959,41.5172057,2028.059,2959.709,25.121,0.08,26.391,0.078,1.621,0.83,0.281,0.017
"36",49.4077618,41.5320445,919.044,2983.082,24.965,0.053,26.269,0.086,1.042,1.099,0.193,0.254
"37",49.4157316,41.4972891,3449.701,3188.892,25.403,0.066,26.731,0.09,0.988,0.674,0.204,-0.006
"38",49.4086876,41.5177497,1928.367,3190.613,23.755,0.043,25.409,0.046,1.504,0.985,0.187,0.117
"39",49.4121656,41.504998,2864.284,3237.205,25.176,0.069,26.662,0.084,1.287,0.643,0.144,0.035
"40",49.4072121,41.5148996,2107.355,3318.675,25.221,0.07,26.783,0.103,1.251,0.8,0.148,-0.115
